n,T,et,ett,ht,pt
1,Float32,1.5649999999999999e-9,1.564e-9,1.5649999999999999e-9,2.9089999999999998e-9
2,Float32,1.787e-9,1.566e-9,1.566e-9,4.016e-9
3,Float32,1.794e-9,1.789e-9,1.568e-9,4.905999999999999e-9
4,Float32,2.4630000000000003e-9,2.469e-9,2.416e-9,7.356356356356357e-9
5,Float32,4.46e-9,5.593e-9,5.9560000000000005e-9,1.0141141141141141e-8
6,Float32,1.3443887775551102e-8,8.898898898898899e-9,2.0889669007021064e-8,2.483433734939759e-8
7,Float32,2.5603413654618475e-8,1.7327655310621243e-8,5.94877800407332e-8,6.503688524590164e-8
8,Float32,4.9427991886409734e-8,3.480261832829809e-8,1.387872340425532e-7,1.4601930036188179e-7
9,Float32,9.683526927138331e-8,6.017209775967414e-8,3.6830917874396135e-7,3.742634146341463e-7
10,Float32,2.111588785046729e-7,1.1661378555798687e-7,8.2565e-7,8.315974025974026e-7
11,Float32,9.219705882352942e-7,3.040239043824701e-7,1.7446e-6,1.75e-6
12,Float32,2.1323333333333333e-6,9.027560975609756e-7,3.57225e-6,3.577625e-6
13,Float32,4.620142857142857e-6,2.922777777777778e-6,7.233e-6,7.2385e-6
14,Float32,9.668e-6,6.371e-6,1.4584e-5,1.4595e-5
15,Float32,2.4465e-5,1.0086e-5,2.9195e-5,2.9201e-5
16,Float32,6.6921e-5,2.2552e-5,5.8383e-5,5.8392e-5
1,Float64,1.568e-9,1.5649999999999999e-9,1.5649999999999999e-9,2.901e-9
2,Float64,1.575e-9,1.789e-9,1.784e-9,4.011e-9
3,Float64,1.79e-9,1.79e-9,1.787e-9,5.004e-9
4,Float64,2.523e-9,2.4780000000000003e-9,2.413e-9,7.353353353353353e-9
5,Float64,4.511999999999999e-9,7.391391391391392e-9,5.967e-9,1.029029029029029e-8
6,Float64,1.2315315315315315e-8,1.1378378378378378e-8,2.0888665997993983e-8,2.4940763052208836e-8
7,Float64,2.5847389558232933e-8,2.2021084337349396e-8,5.951787538304392e-8,6.516016427104722e-8
8,Float64,5.4435975609756096e-8,4.464141414141414e-8,1.3879787234042551e-7,1.4720913461538462e-7
9,Float64,1.1352838427947599e-7,6.800102459016394e-8,3.687391304347826e-7,3.7299029126213595e-7
10,Float64,2.4677235772357727e-7,1.2148176795580111e-7,8.255125e-7,8.314415584415585e-7
11,Float64,1.0042999999999999e-6,2.669875e-7,1.7455e-6,1.7491e-6
12,Float64,2.2435555555555556e-6,9.3825e-7,3.5725e-6,3.577e-6
13,Float64,4.750714285714285e-6,4.145714285714285e-6,7.2355e-6,7.24625e-6
14,Float64,1.0973e-5,5.061666666666667e-6,1.4586e-5,1.4596e-5
15,Float64,3.3402e-5,1.0589e-5,2.9194e-5,2.9203e-5
16,Float64,8.3993e-5,3.267e-5,5.8381e-5,5.8392e-5
